v2r_fpr,v2r_tpr,rho_fpr,rho_tpr
0.0,0.0,0.0,0.0
0.0,0.004062288422477996,0.0027100271002710027,0.012893982808022923
0.001524390243902439,0.010832769126607989,0.0027100271002710027,0.027220630372492838
0.001524390243902439,0.021665538253215978,0.008130081300813009,0.044412607449856735
0.004573170731707317,0.03317535545023697,0.01084010840108401,0.05157593123209169
0.004573170731707317,0.046716316858496955,0.013550135501355014,0.06017191977077364
0.006097560975609756,0.06702775897088693,0.013550135501355014,0.07020057306590258
0.007621951219512195,0.08327691266079891,0.013550135501355014,0.07736389684813753
0.009146341463414634,0.0988490182802979,0.016260162601626018,0.09312320916905444
0.013719512195121951,0.11238997968855789,0.016260162601626018,0.10315186246418338
0.013719512195121951,0.12863913337846988,0.018970189701897018,0.11318051575931232
0.01676829268292683,0.14014895057549087,0.02168021680216802,0.1174785100286533
0.021341463414634148,0.15504400812457683,0.02710027100271003,0.1318051575931232
0.021341463414634148,0.16858496953283683,0.02710027100271003,0.14183381088825214
0.024390243902439025,0.18754231550440081,0.02710027100271003,0.1489971346704871
0.025914634146341462,0.20108327691266079,0.032520325203252036,0.15472779369627507
0.028963414634146343,0.2132701421800948,0.032520325203252036,0.166189111747851
0.03201219512195122,0.23019634394041977,0.03523035230352303,0.17191977077363896
0.036585365853658534,0.24576844955991875,0.03523035230352303,0.1819484240687679
0.04725609756097561,0.25524712254570076,0.037940379403794036,0.19340974212034384
0.051829268292682924,0.2708192281651997,0.04065040650406504,0.2020057306590258
0.06707317073170732,0.3033175355450237,0.04065040650406504,0.21203438395415472
0.0701219512195122,0.3175355450236967,0.04065040650406504,0.22492836676217765
0.07164634146341463,0.3290453622207177,0.04336043360433604,0.23209169054441262
0.07317073170731707,0.3425863236289777,0.04878048780487805,0.24355300859598855
0.07774390243902439,0.35409614082599866,0.051490514905149054,0.24785100286532952
0.08384146341463415,0.3628977657413676,0.051490514905149054,0.2507163323782235
0.08689024390243902,0.37576167907921465,0.05420054200542006,0.2521489971346705
0.09451219512195122,0.3886255924170616,0.05420054200542006,0.2621776504297994
0.10213414634146341,0.40216655382532157,0.056910569105691054,0.26504297994269344
0.10823170731707317,0.4109681787406906,0.06233062330623306,0.2722063037249284
0.10975609756097561,0.4197698036560596,0.06504065040650407,0.27793696275071633
0.1173780487804878,0.42924847664184157,0.06504065040650407,0.2808022922636103
0.12195121951219512,0.44549763033175355,0.06504065040650407,0.28939828080229224
0.12957317073170732,0.45768449559918756,0.06504065040650407,0.29656160458452724
0.13567073170731708,0.46377792823290453,0.07046070460704607,0.30945558739255014
0.14176829268292682,0.4766418415707515,0.07588075880758807,0.3151862464183381
0.14329268292682926,0.48070412999322953,0.07859078590785908,0.3209169054441261
0.15091463414634146,0.4881516587677725,0.08401084010840108,0.32664756446991405
0.15701219512195122,0.4976303317535545,0.08672086720867209,0.32808022922636104
0.15853658536585366,0.5057549085985105,0.08672086720867209,0.330945558739255
0.17073170731707318,0.5192958700067705,0.08672086720867209,0.3424068767908309
0.17835365853658536,0.5247122545700744,0.08943089430894309,0.3495702005730659
0.18597560975609756,0.5328368314150305,0.08943089430894309,0.3538681948424069
0.19817073170731708,0.5463777928232905,0.0948509485094851,0.35673352435530087
